calc_lyr,product_lyr,qa_lyr,short_name,long_name,units,scale,offset,data_type,valid_min,valid_max,fill_value,full_description
1,1,,NumCycles,Number of phenological cycles,Number of cycles,1,0,Int16,0,6,32767,Number of phenological cycles detected during product year
2,2,,OGI,Onset Greenness Increase (Date of 15% greenness increase),Day of year,1,0,Int16,-181,548,32767,Onset Greenness Increase (Date of 15% greenness increase)
3,3,,50PCGI,50 Percent Greenness Increase (Date of 50% greenness increase) ,Day of year,1,0,Int16,-181,548,32767,50 Percent Greenness Increase (Date of 50% greenness increase) 
4,4,,OGMx,Onset Greenness Maximum (Date of 90% greenness increase) ,Day of year,1,0,Int16,-181,548,32767,Onset Greenness Maximum (Date of 90% greenness increase) 
5,5,,Peak,Date of Cycle Peak,Day of year,1,0,Int16,1,366,32767,Date of Cycle Peak
6,6,,OGD,Onset Greenness Decrease (Date of 10% greenness decrease) ,Day of year,1,0,Int16,-181,548,32767,Onset Greenness Decrease (Date of 10% greenness decrease) 
7,7,,50PCGD,50 Percent Greenness Decrease (Date of 50% greenness decrease) ,Day of year,1,0,Int16,-181,548,32767,50 Percent Greenness Decrease (Date of 50% greenness decrease) 
8,8,,OGMn,Onset Greenness Minimum (Date of 85% greenness decrease) ,Day of year,1,0,Int16,-181,548,32767,Onset Greenness Minimum (Date of 85% greenness decrease) 
9,9,,EVImax,Maximum EVI2 during vegetation cycle,-,0.0001,0,Int16,0,10000,32767,Maximum EVI2 during vegetation cycle
10,10,,EVIamp,EVI2 Amplitude during vegetation cycle ,-,0.0001,0,Int16,0,10000,32767,EVI2 Amplitude during vegetation cycle 
11,11,,EVIarea,Integrated EVI2 during vegetation cycle ,-,0.01,0,Int16,0,32766,32767,Integrated EVI2 during vegetation cycle 
12,,,OGI_b2,OLI band 2 Reflectance [Onset Greenness Increase],Reflectance,0.0001,0,Int16,0,10000,32767,"Blue band reflectance on date of 15% greenness increase (OLI band 2, MSI band 2)"
13,,,OGI_b3,OLI band 3  Reflectance [Onset Greenness Increase],Reflectance,0.0001,0,Int16,0,10000,32767,"Green band reflectance on date of 15% greenness increase (OLI band 3, MSI band 3)"
14,,,OGI_b4,OLI band 4  Reflectance [Onset Greenness Increase],Reflectance,0.0001,0,Int16,0,10000,32767,"Red band reflectance on date of 15% greenness increase (OLI band 4, MSI band 4)"
15,,,OGI_b5,OLI band 5  Reflectance [Onset Greenness Increase],Reflectance,0.0001,0,Int16,0,10000,32767,"NIR band reflectance on date of 15% greenness increase (OLI band 5, MSI band 8A)"
16,,,OGI_b6,OLI band 6  Reflectance [Onset Greenness Increase],Reflectance,0.0001,0,Int16,0,10000,32767,"SWIR 1 band reflectance on date of 15% greenness increase (OLI band 6, MSI band 11)"
17,,,OGI_b7,OLI band 7  Reflectance [Onset Greenness Increase],Reflectance,0.0001,0,Int16,0,10000,32767,"SWIR 2 band reflectance on date of 15% greenness increase (OLI band 7, MSI band 12)"
18,,,50PCGI_b2,OLI band 2 Reflectance [50 Percent Greenness Increase],Reflectance,0.0001,0,Int16,0,10000,32767,"Blue band reflectance on date of 50% greenness increase (OLI band 2, MSI band 2)"
19,,,50PCGI_b3,OLI band 3  Reflectance [50 Percent Greenness Increase],Reflectance,0.0001,0,Int16,0,10000,32767,"Green band reflectance on date of 50% greenness increase (OLI band 3, MSI band 3)"
20,,,50PCGI_b4,OLI band 4  Reflectance [50 Percent Greenness Increase],Reflectance,0.0001,0,Int16,0,10000,32767,"Red band reflectance on date of 50% greenness increase (OLI band 4, MSI band 4)"
21,,,50PCGI_b5,OLI band 5  Reflectance [50 Percent Greenness Increase],Reflectance,0.0001,0,Int16,0,10000,32767,"NIR band reflectance on date of 50% greenness increase (OLI band 5, MSI band 8A)"
22,,,50PCGI_b6,OLI band 6  Reflectance [50 Percent Greenness Increase],Reflectance,0.0001,0,Int16,0,10000,32767,"SWIR 1 band reflectance on date of 50% greenness increase (OLI band 6, MSI band 11)"
23,,,50PCGI_b7,OLI band 7  Reflectance [50 Percent Greenness Increase],Reflectance,0.0001,0,Int16,0,10000,32767,"SWIR 2 band reflectance on date of 50% greenness increase (OLI band 7, MSI band 12)"
24,,,OGMx_b2,OLI band 2 Reflectance [Onset Greenness Maximum],Reflectance,0.0001,0,Int16,0,10000,32767,"Blue band reflectance on date of 90% greenness increase (OLI band 2, MSI band 2)"
25,,,OGMx_b3,OLI band 3  Reflectance [Onset Greenness Maximum],Reflectance,0.0001,0,Int16,0,10000,32767,"Green band reflectance on date of 90% greenness increase (OLI band 3, MSI band 3)"
26,,,OGMx_b4,OLI band 4  Reflectance [Onset Greenness Maximum],Reflectance,0.0001,0,Int16,0,10000,32767,"Red band reflectance on date of 90% greenness increase (OLI band 4, MSI band 4)"
27,,,OGMx_b5,OLI band 5  Reflectance [Onset Greenness Maximum],Reflectance,0.0001,0,Int16,0,10000,32767,"NIR band reflectance on date of 90% greenness increase (OLI band 5, MSI band 8A)"
28,,,OGMx_b6,OLI band 6  Reflectance [Onset Greenness Maximum],Reflectance,0.0001,0,Int16,0,10000,32767,"SWIR 1 band reflectance on date of 90% greenness increase (OLI band 6, MSI band 11)"
29,,,OGMx_b7,OLI band 7  Reflectance [Onset Greenness Maximum],Reflectance,0.0001,0,Int16,0,10000,32767,"SWIR 2 band reflectance on date of 90% greenness increase (OLI band 7, MSI band 12)"
30,,,Peak_b2,OLI band 2 Reflectance [Peak Greenness],Reflectance,0.0001,0,Int16,0,10000,32767,"Blue band reflectance on date of peak greenness (OLI band 2, MSI band 2)"
31,,,Peak_b3,OLI band 3  Reflectance  [Peak Greenness],Reflectance,0.0001,0,Int16,0,10000,32767,"Green band reflectance on date of peak greenness  (OLI band 3, MSI band 3)"
32,,,Peak_b4,OLI band 4  Reflectance  [Peak Greenness],Reflectance,0.0001,0,Int16,0,10000,32767,"Red band reflectance on date of peak greenness  (OLI band 4, MSI band 4)"
